date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:40:32	10722/10722	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2019%20Aug%202021%2018:40:32%20GMT	https://cp-algorithms.com/robots.txt		(from )
20:40:33	22087/22087	---M-Z	200	added ('OK')	text/html	date:Thu,%2019%20Aug%202021%2015:54:28%20GMT	https://cp-algorithms.com/	/storage/emulated/0/HTTrack/Websites/cp-algorithms/cp-algorithms.com/index.html	(from )
20:40:34	89501/89501	---M--	200	added ('OK')	text/javascript	date:Wed,%2010%20Mar%202021%2014:28:09%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.6.0/jquery.min.js	/storage/emulated/0/HTTrack/Websites/cp-algorithms/ajax.googleapis.com/ajax/libs/jquery/3.6.0/jquery.min.js	(from https://cp-algorithms.com/)
20:40:34	1105/1105	---M-Z	200	added ('OK')	text/javascript	date:Thu,%2019%20Aug%202021%2015:54:28%20GMT	https://cp-algorithms.com/js/common.js	/storage/emulated/0/HTTrack/Websites/cp-algorithms/cp-algorithms.com/js/common.js	(from https://cp-algorithms.com/)
20:40:36	63048/63048	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03f13-f648%22	https://cdnjs.cloudflare.com/ajax/libs/mathjax/2.7.1/MathJax.js?config=TeX-AMS-MML_HTMLorMML	/storage/emulated/0/HTTrack/Websites/cp-algorithms/cdnjs.cloudflare.com/ajax/libs/mathjax/2.7.1/MathJaxdda6.js	(from https://cp-algorithms.com/)
20:40:36	1401/1401	---M-Z	200	added ('OK')	text/css	date:Thu,%2019%20Aug%202021%2015:54:28%20GMT	https://cp-algorithms.com/css/common.css	/storage/emulated/0/HTTrack/Websites/cp-algorithms/cp-algorithms.com/css/common.css	(from https://cp-algorithms.com/)
20:40:37	1905/1905	---M-Z	200	added ('OK')	text/css	etag:%225eb03e7a-771%22	https://cdnjs.cloudflare.com/ajax/libs/highlight.js/8.3/styles/xcode.min.css	/storage/emulated/0/HTTrack/Websites/cp-algorithms/cdnjs.cloudflare.com/ajax/libs/highlight.js/8.3/styles/xcode.min.css	(from https://cp-algorithms.com/)
20:40:39	35102/35102	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03e7a-891e%22	https://cdnjs.cloudflare.com/ajax/libs/highlight.js/8.3/highlight.min.js	/storage/emulated/0/HTTrack/Websites/cp-algorithms/cdnjs.cloudflare.com/ajax/libs/highlight.js/8.3/highlight.min.js	(from https://cp-algorithms.com/)
20:40:40	22087/22087	---M-Z	200	added ('OK')	text/html	date:Thu,%2019%20Aug%202021%2015:54:28%20GMT	https://cp-algorithms.com/index.html	/storage/emulated/0/HTTrack/Websites/cp-algorithms/cp-algorithms.com/index-2.html	(from https://cp-algorithms.com/)
20:40:41	17999/17999	---M-Z	200	added ('OK')	text/html	date:Thu,%2019%20Aug%202021%2015:54:28%20GMT	https://cp-algorithms.com/algebra/binary-exp.html	/storage/emulated/0/HTTrack/Websites/cp-algorithms/cp-algorithms.com/algebra/binary-exp.html	(from https://cp-algorithms.com/)
20:40:42	10515/10515	---M-Z	200	added ('OK')	text/html	date:Thu,%2019%20Aug%202021%2015:54:28%20GMT	https://cp-algorithms.com/algebra/euclid-algorithm.html	/storage/emulated/0/HTTrack/Websites/cp-algorithms/cp-algorithms.com/algebra/euclid-algorithm.html	(from https://cp-algorithms.com/)
20:40:43	9124/9124	---M-Z	200	added ('OK')	text/html	date:Thu,%2019%20Aug%202021%2015:54:28%20GMT	https://cp-algorithms.com/algebra/extended-euclid-algorithm.html	/storage/emulated/0/HTTrack/Websites/cp-algorithms/cp-algorithms.com/algebra/extended-euclid-algorithm.html	(from https://cp-algorithms.com/)
20:40:43	12353/12353	---M-Z	200	added ('OK')	text/html	date:Thu,%2019%20Aug%202021%2015:54:28%20GMT	https://cp-algorithms.com/algebra/linear-diophantine-equation.html	/storage/emulated/0/HTTrack/Websites/cp-algorithms/cp-algorithms.com/algebra/linear-diophantine-equation.html	(from https://cp-algorithms.com/)
