Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  7.80      0.06     0.06 16870776     0.00     0.00  bool __gnu_cxx::__ops::_Iter_less_iter::operator()<int const*, int const*>(int const*, int const*) const
  7.80      0.12     0.06   975096     0.00     0.00  void std::vector<int, std::allocator<int> >::_M_realloc_insert<int const&>(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int const&)
  7.15      0.18     0.06 13897176     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::__normal_iterator(int const* const&)
  6.50      0.23     0.05  3351775     0.00     0.00  bool std::__lexicographical_compare_impl<int const*, int const*, __gnu_cxx::__ops::_Iter_less_iter>(int const*, int const*, int const*, int const*, __gnu_cxx::__ops::_Iter_less_iter)
  5.20      0.27     0.04 18771862     0.00     0.00  std::vector<int, std::allocator<int> >::size() const
  5.20      0.31     0.04 12188700     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned long)
  5.20      0.35     0.04  6948588     0.00     0.00  std::vector<int, std::allocator<int> >::begin() const
  3.90      0.38     0.03  1950193     0.00     0.00  std::vector<int, std::allocator<int> >::_S_max_size(std::allocator<int> const&)
  3.90      0.41     0.03   243774     0.00     0.00  check(std::vector<int, std::allocator<int> >)
  2.60      0.43     0.02 13897176     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::base() const
  2.60      0.45     0.02  3351775     0.00     0.00  std::less<std::vector<int, std::allocator<int> > >::operator()(std::vector<int, std::allocator<int> > const&, std::vector<int, std::allocator<int> > const&) const
  2.60      0.47     0.02  1220135     0.00     0.00  __gnu_cxx::new_allocator<int>::deallocate(int*, unsigned long)
  2.60      0.49     0.02   975096     0.00     0.00  std::vector<int, std::allocator<int> >::_M_check_len(unsigned long, char const*) const
  2.60      0.51     0.02   245038     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_create_storage(unsigned long)
  1.30      0.52     0.01 13897176     0.00     0.00  int const* std::__niter_base<int const*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >)
  1.30      0.53     0.01  9369325     0.00     0.00  bool std::__lc_rai<std::random_access_iterator_tag, std::random_access_iterator_tag>::__cnd2<int const*>(int const*, int const*)
  1.30      0.54     0.01  6948588     0.00     0.00  std::vector<int, std::allocator<int> >::end() const
  1.30      0.55     0.01  4101384     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::base() const
  1.30      0.56     0.01  3351775     0.00     0.00  bool std::__lexicographical_compare<false>::__lc<int const*, int const*>(int const*, int const*, int const*, int const*)
  1.30      0.57     0.01  3351775     0.00     0.00  bool std::__lexicographical_compare_aux<int const*, int const*>(int const*, int const*, int const*, int const*)
  1.30      0.58     0.01  3110578     0.00     0.00  std::_Rb_tree_node<std::pair<std::vector<int, std::allocator<int> > const, int> >::_M_valptr() const
  1.30      0.59     0.01  1990392     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::__normal_iterator(int* const&)
  1.30      0.60     0.01  1950193     0.00     0.00  std::allocator_traits<std::allocator<int> >::max_size(std::allocator<int> const&)
  1.30      0.61     0.01  1950192     0.00     0.00  std::vector<int, std::allocator<int> >::_S_do_relocate(int*, int*, int*, std::allocator<int>&, std::integral_constant<bool, true>)
  1.30      0.62     0.01  1950192     0.00     0.00  std::vector<int, std::allocator<int> >::_S_use_relocate()
  1.30      0.63     0.01  1950192     0.00     0.00  int* std::__relocate_a<int*, int*, std::allocator<int> >(int*, int*, int*, std::allocator<int>&)
  1.30      0.64     0.01  1220135     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_allocate(unsigned long)
  1.30      0.65     0.01  1218870     0.00     0.00  void __gnu_cxx::new_allocator<int>::construct<int, int const&>(int*, int const&)
  1.30      0.66     0.01   995196     0.00     0.00  std::vector<int, std::allocator<int> >::begin()
  1.30      0.67     0.01   487496     0.00     0.00  std::_Rb_tree_iterator<std::pair<std::vector<int, std::allocator<int> > const, int> >::operator*() const
